rapidnas_id,rapidnas_name,iptv_org_id,iptv_org_name,country,programme_count,score,method,status,notes
elb223,Капитан Фантастика,KapitanFantastika.ru,Kapitan Fantastika,RU,600,1.0,exact,verified,
elb224,КВН ТВ,KVNTV.ru,KVN TV,RU,118,1.0,exact,verified,
elb225,КИНЕКО,Kineko.ru,Kineko,RU,229,1.0,exact,verified,
elb2250,Nova Sport 1,NovaSport1.cz,Nova Sport 1,CZ,175,1.0,exact,verified,
elb2251,Nova Sport 2,NovaSport2.cz,Nova Sport 2,CZ,118,1.0,exact,verified,
elb2252,Nova Sport 3,NovaSport3.cz,Nova Sport 3,CZ,96,1.0,exact,verified,
elb2253,Nova Sport 4,NovaSport4.cz,Nova Sport 4,CZ,96,1.0,exact,verified,
elb226,КИНЕКО HD,Kineko.ru,Kineko,RU,229,1.0,exact,verified,
elb2265,Now Rock,NOWRock.uk,NOW Rock,UK,111,1.0,exact,verified,
elb2283,НТВ-Беларусь,NTVBelarus.by,NTV-Belarus,BY,226,1.0,exact,verified,
elb229,Кинокомедия,Kinokomedija.ru,Kinokomedija,RU,102,1.0,exact,verified,
elb230,Кинокомедия HD,Kinokomedija.ru,Kinokomedija,RU,102,1.0,exact,verified,
elb2300,О!,O.ru,O!,RU,130,1.0,exact,verified,
elb2303,OBOZ TV,ObozrevatelTV.ua,Obozrevatel TV,UA,218,1.0,exact,verified,
elb232,Киноман,Kinoman.ru,Kinoman,RU,112,1.0,exact,verified,
elb2326,Остросюжетное HD,Ostrosyuzhetnoye.ru,Ostrosyuzhetnoye,RU,173,1.0,exact,verified,
elb233,Киномикс,Kinomix.ru,Kinomix,RU,90,1.0,exact,verified,
elb2330,Открытый мир,Otkritiymir.ru,Otkritiy mir,RU,305,1.0,exact,verified,
elb2332,ОТР (+2),OTR.ru,OTR,RU,270,1.0,exact,verified,
elb2333,ОТР (+4),OTR.ru,OTR,RU,265,1.0,exact,verified,
elb2334,ОТР (+7),OTR.ru,OTR,RU,0,1.0,exact,verified,
elb234,Киномикс HD,Kinomix.ru,Kinomix,RU,90,1.0,exact,verified,
elb2355,Патриот,Patriot.ru,Patriot,RU,149,1.0,exact,verified,
elb2356,Penthouse Gold HD,PenthouseGold.us,Penthouse Gold,US,295,1.0,exact,verified,
elb2364,Первый канал,ChannelOne.ru,Channel One,RU,207,1.0,exact,verified,
elb2371,Первый информационный,PerviyInformationniy.by,Perviy Informationniy,BY,706,1.0,exact,verified,
elb238,Кинопремьера HD,Kinopremyera.ru,Kinopremyera,RU,111,1.0,exact,verified,
elb2381,Первый канал +1,ChannelOne.ru,Channel One,RU,227,1.0,exact,verified,
elb2382,Первый канал +2,ChannelOne.ru,Channel One,RU,225,1.0,exact,verified,
elb2383,Первый канал +3,ChannelOne.ru,Channel One,RU,219,1.0,exact,verified,
elb2384,Первый канал +4,ChannelOne.ru,Channel One,RU,209,1.0,exact,verified,
elb2385,Первый канал +5,ChannelOne.ru,Channel One,RU,214,1.0,exact,verified,
elb2386,Первый канал +6,ChannelOne.ru,Channel One,RU,211,1.0,exact,verified,
elb2387,Первый канал +7,ChannelOne.ru,Channel One,RU,207,1.0,exact,verified,
elb2388,Первый канал +8,ChannelOne.ru,Channel One,RU,200,1.0,exact,verified,
elb2389,Первый канал +9,ChannelOne.ru,Channel One,RU,199,1.0,exact,verified,
elb239,Киносвидание,Kinosvidanie.ru,Kinosvidanie,RU,94,1.0,exact,verified,
elb2397,Пес и Ко,PesiKo.ru,Pes i Ko,RU,122,1.0,exact,verified,
elb240,Киносвидание HD,Kinosvidanie.ru,Kinosvidanie,RU,94,1.0,exact,verified,
elb2401,Пятница! (+2),Friday.ru,Friday!,RU,177,1.0,exact,verified,
elb2402,Пятница! (+3),Friday.ru,Friday!,RU,108,1.0,exact,verified,
elb2403,Пятница! (+4),Friday.ru,Friday!,RU,174,1.0,exact,verified,
elb2404,Пятница! (+7),Friday.ru,Friday!,RU,173,1.0,exact,verified,
elb2406,Пингвин Лоло,Pingvin.ru,Pingvin,RU,860,1.0,exact,verified,
elb241,Киносемья,Kinosemja.ru,Kinosemja,RU,121,1.0,exact,verified,
elb2418,Победа,Pobeda.ru,Pobeda,RU,63,1.0,exact,verified,
elb2419,Поехали!,Poehali.ru,Poehali!,RU,269,1.0,exact,verified,
elb242,Киносемья HD,Kinosemja.ru,Kinosemja,RU,121,1.0,exact,verified,
elb2422,Polonia 1,Polonia1.pl,Polonia 1,PL,266,1.0,exact,verified,
elb243,Киносерия,Kinoseriya.ru,Kinoseriya,RU,194,1.0,exact,verified,
elb244,Киноужас HD,Kinouzhas.ru,Kinouzhas,RU,112,1.0,exact,verified,
elb245,Кинохит,KinoHit.ru,KinoHit,RU,105,1.0,exact,verified,
elb2452,Премиальное HD,Premialnoe.ru,Premialnoe,RU,135,1.0,exact,verified,
elb246,Кинохит HD,KinoHit.ru,KinoHit,RU,105,1.0,exact,verified,
elb247,Ключ,Kluch.ru,Kluch,RU,0,1.0,exact,verified,
elb2476,Private TV,PrivateTV.nl,Private TV,NL,75,1.0,exact,verified,
elb248,Ключ HD,Kluch.ru,Kluch,RU,205,1.0,exact,verified,
elb2487,Продвижение (+3),Prodvizhenie.ru,Prodvizhenie,RU,191,1.0,exact,verified,
elb2488,Продвижение (+4),Prodvizhenie.ru,Prodvizhenie,RU,191,1.0,exact,verified,
elb2489,Продвижение (+7),Prodvizhenie.ru,Prodvizhenie,RU,188,1.0,exact,verified,
elb249,Комедия,Komedia.ru,Komedia,RU,134,1.0,exact,verified,
elb2491,ProSieben,ProSieben.de,ProSieben,DE,253,1.0,exact,verified,
elb251,Конный мир HD,Konniymir.ru,Konniy mir,RU,0,1.0,exact,verified,
elb252,Красная линия,RedLine.ru,Red Line,RU,194,1.0,exact,verified,
elb2520,Радио Шансон,RadioShanson.ru,Radio Shanson,RU,334,1.0,exact,verified,
elb253,Крым 24,Crimea24.ru,Crimea 24,RU,598,1.0,exact,verified,
elb2531,Real Madrid TV,RealMadridTV.es,Real Madrid TV,ES,58,1.0,exact,verified,
elb2535,Redlight HD,RedlightHD.nl,Redlight HD,NL,182,1.0,exact,verified,
elb254,Кто есть кто,Ktoestkto.ru,Kto est kto,RU,243,1.0,exact,verified,
elb2543,Рен ТВ (+2),RENTV.ru,REN TV,RU,170,1.0,exact,verified,
elb2544,Рен ТВ (+4),RENTV.ru,REN TV,RU,171,1.0,exact,verified,
elb2545,Рен ТВ (+7),RENTV.ru,REN TV,RU,170,1.0,exact,verified,
elb2565,Романтичное HD,Romantichnoe.ru,Romantichnoe,RU,193,1.0,exact,verified,
elb2568,Россия 1 (+1),Russia1.ru,Russia-1,RU,242,1.0,exact,verified,
elb2569,Россия 1 (+2),Russia1.ru,Russia-1,RU,195,1.0,exact,verified,
elb257,Кухня ТВ,KukhnyaTV.ru,Kukhnya TV,RU,388,1.0,exact,verified,
elb2570,Россия 1 (+3),Russia1.ru,Russia-1,RU,200,1.0,exact,verified,
elb2571,Россия 1 (+4),Russia1.ru,Russia-1,RU,199,1.0,exact,verified,
elb2572,Россия 1 (+5),Russia1.ru,Russia-1,RU,147,1.0,exact,verified,
elb2573,Россия 1 (+6),Russia1.ru,Russia-1,RU,146,1.0,exact,verified,
elb2574,Россия 1 (+7),Russia1.ru,Russia-1,RU,177,1.0,exact,verified,
elb2575,Россия 1 (+8),Russia1.ru,Russia-1,RU,144,1.0,exact,verified,
elb2576,Россия 1 (+9),Russia1.ru,Russia-1,RU,143,1.0,exact,verified,
elb2586,RTL 2,RTL2.hr,RTL 2,HR,178,1.0,exact,verified,
elb2588,РТР-Беларусь,RTRBelarus.by,RTR-Belarus,BY,179,1.0,exact,verified,
elb2595,RTVi,RTVi.ru,RTVi,RU,209,1.0,exact,verified,
elb26,Baby Time,BabyTime.ru,Baby Time,RU,735,1.0,exact,verified,
elb261,Липецкое время,Lipeckoevremya.ru,Lipeckoe vremya,RU,167,1.0,exact,verified,
elb2611,Русский экстрим,RussianExtreme.ru,Russian Extreme,RU,244,1.0,exact,verified,
elb2614,Русский Север,RusskiySever.ru,Russkiy Sever,RU,348,1.0,exact,verified,
elb2615,Рыбалка,Rybalka.ua,Rybalka,UA,367,1.0,exact,verified,
elb2619,РЖД ТВ,RZDTV.ru,RZD TV,RU,194,1.0,exact,verified,
elb262,Любимое кино HD,NasheLubimoeKino.ru,Nashe Lubimoe Kino,RU,97,1.0,exact,verified,
elb2636,Sat.1 Emotions HD,SAT1emotions.de,SAT.1 emotions,DE,239,1.0,exact,verified,
elb264,Майдан,Maidan.ru,Maidan,RU,497,1.0,exact,verified,
